Cum,Daily,deaths_cum,deaths_daily
24090,1413,3392,310
22677,1157,3082,325
21520,2277,2757,345
19243,2077,2412,322
17166,2569,2090,265
14597,2245,1825,290
12352,1777‬,1535,272
10575,‭873‬,1263,242
9702,‭781‬,1021,217
8921,1756,804,176
7165,388,628,130
6777,1140,498,108
5637,766,390,35
4871,706,355,142
4165,621,213,0
3544,605,213,127
2940,950,86,5
1990,602,81,81
1388,364,0,0
1024,242,0,0
782,313,0,0
469,294,0,0
175,38,0,0
137,0,0,0
137,47,0,0
90,20,0,0
70,21,0,0
49,20,0,0
29,19,0,0
10,2,0,0
8,3,0,0
5,1,0,0
4,2,0,0
2,2,0,0
